time_utc,spi_close,cfd_mid_close,diff,cfd_spread
2026-01-02T09:50:00+00:00,8754.000000,8692.600000,61.400000,2.000000
2026-01-02T10:02:00+00:00,8748.000000,8704.700000,43.300000,1.000000
2026-01-02T10:14:00+00:00,8742.000000,8706.600000,35.400000,1.000000
2026-01-02T10:26:00+00:00,8736.000000,8712.100000,23.900000,1.000000
2026-01-02T10:38:00+00:00,8734.000000,8710.100000,23.900000,1.000000
2026-01-02T10:50:00+00:00,8738.000000,8700.100000,37.900000,1.000000
2026-01-02T11:02:00+00:00,8745.000000,8707.500000,37.500000,1.000000
2026-01-02T11:14:00+00:00,8742.000000,8721.100000,20.900000,1.000000
2026-01-02T11:26:00+00:00,8746.000000,8721.100000,24.900000,1.000000
2026-01-02T11:38:00+00:00,8748.000000,8716.600000,31.400000,1.000000
2026-01-02T11:50:00+00:00,8752.000000,8715.600000,36.400000,1.000000
2026-01-02T12:02:00+00:00,8750.000000,8711.100000,38.900000,1.000000
2026-01-02T12:14:00+00:00,8750.000000,8710.100000,39.900000,1.000000
2026-01-02T12:26:00+00:00,8747.000000,8713.900000,33.100000,1.000000
2026-01-02T12:38:00+00:00,8743.000000,8720.700000,22.300000,1.000000
2026-01-02T12:50:00+00:00,8747.000000,8727.600000,19.400000,1.000000
2026-01-02T13:02:00+00:00,8746.000000,8727.600000,18.400000,1.000000
2026-01-02T13:14:00+00:00,8747.000000,8729.200000,17.800000,1.000000
2026-01-02T13:27:00+00:00,8751.000000,8733.100000,17.900000,1.000000
2026-01-02T13:41:00+00:00,8756.000000,8737.600000,18.400000,1.000000
2026-01-02T13:55:00+00:00,8761.000000,8730.900000,30.100000,1.000000
2026-01-02T14:07:00+00:00,8760.000000,8731.400000,28.600000,1.000000
2026-01-02T14:20:00+00:00,8768.000000,8730.900000,37.100000,1.000000
2026-01-02T14:32:00+00:00,8755.000000,8730.300000,24.700000,1.000000
2026-01-02T14:44:00+00:00,8749.000000,8729.500000,19.500000,1.000000
2026-01-02T14:58:00+00:00,8751.000000,8729.000000,22.000000,1.000000
2026-01-02T15:14:00+00:00,8742.000000,8729.300000,12.700000,1.000000
2026-01-02T15:28:00+00:00,8734.000000,8728.400000,5.600000,1.000000
2026-01-02T15:40:00+00:00,8743.000000,8730.200000,12.800000,1.000000
2026-01-02T15:52:00+00:00,8737.000000,8730.200000,6.800000,1.000000
2026-01-02T16:04:00+00:00,8736.000000,8727.000000,9.000000,2.000000
2026-01-02T16:16:00+00:00,8735.000000,8726.000000,9.000000,2.000000
2026-01-02T16:29:00+00:00,8732.000000,8722.400000,9.600000,2.000000
2026-01-02T16:41:00+00:00,8721.000000,8723.000000,-2.000000,4.000000
2026-01-02T16:53:00+00:00,8706.000000,8724.400000,-18.400000,4.000000
2026-01-02T17:08:00+00:00,8723.000000,8725.200000,-2.200000,4.000000
2026-01-02T17:24:00+00:00,8726.000000,8718.100000,7.900000,3.000000
2026-01-02T17:58:00+00:00,8719.000000,8722.100000,-3.100000,3.000000
2026-01-02T18:11:00+00:00,8710.000000,8718.600000,-8.600000,3.000000
2026-01-02T18:26:00+00:00,8721.000000,8718.100000,2.900000,3.000000
2026-01-02T18:42:00+00:00,8717.000000,8721.600000,-4.600000,3.000000
2026-01-02T18:58:00+00:00,8720.000000,8717.600000,2.400000,3.000000
2026-01-02T19:10:00+00:00,8727.000000,8726.600000,0.400000,3.000000
2026-01-02T19:23:00+00:00,8735.000000,8727.200000,7.800000,3.000000
2026-01-02T19:35:00+00:00,8742.000000,8727.600000,14.400000,3.000000
2026-01-02T19:47:00+00:00,8751.000000,8730.200000,20.800000,3.000000
2026-01-02T19:59:00+00:00,8746.000000,8735.600000,10.400000,3.000000
2026-01-02T20:11:00+00:00,8750.000000,8740.400000,9.600000,3.000000
2026-01-02T20:23:00+00:00,8750.000000,8734.300000,15.700000,3.000000
2026-01-02T20:36:00+00:00,8752.000000,8728.600000,23.400000,3.000000
2026-01-02T20:49:00+00:00,8744.000000,8724.600000,19.400000,3.000000
2026-01-05T22:54:00+00:00,8796.000000,8714.300000,81.700000,3.000000
2026-01-05T23:06:00+00:00,8782.000000,8713.800000,68.200000,3.000000
